interview__key,interview__id,land_parcels__id,i01_3,i02__0,i02__1,i02__2,i02__3,i02__4,i02__5,i02__6,i02__7,i03,i04,i05,i06,i07__1,i07__2,i07__3,i07__4,i07__5,i07__6,i07__7,i07__8,i07__9,i07__10,i07__11,i07__96,i08,i09,i10,i11,i12,i13
93-92-37-68,9c0abc4458054cb2b11e82eedce90118,1,Inherited,1.0,,,,,,,,Nyamira,Private,Customary,None,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
43-29-69-07,b662418f86de4a36a0da7fd13fe2a4ac,1,Allocated By  Non Relative,1.0,3.0,4.0,,,,,,Isiolo,Community land,Freehold,None,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Moderately Likely,"Corruption in land administration system (e.g., forgery of documents etc.)"
43-29-69-07,b662418f86de4a36a0da7fd13fe2a4ac,2,Purchased,2.0,5.0,,,,,,,Isiolo,Community land,Freehold,Sale Agreement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Yes,,No,Co-owner(s),Not at all Likely,
50-40-97-62,2136ba0a828b40f4ba8a76114737b165,1,Inherited,1.0,,,,,,,,Machakos,Private,Freehold,Title deed,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,Relative,Yes,,Not at all Likely,
54-76-88-68,b34354a4d74745dcb227d989a61a9310,1,Allocated By Family Member,1.0,,,,,,,,Nyamira,Private,Freehold,None,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Slightly Likely,Intra-family
22-11-75-91,1b5bd0d9c347409f8f4dff4f86ff7cb9,1,Inherited,1.0,,,,,,,,Kakamega,Private,Freehold,Title deed,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,Relative,Yes,,Not at all Likely,
90-09-64-43,558032624e86420b954c5da0f66272d6,1,Inherited,1.0,,,,,,,,West Pokot,Private,Freehold,Title deed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
90-09-64-43,558032624e86420b954c5da0f66272d6,2,Purchased,1.0,,,,,,,,West Pokot,Private,Freehold,Title deed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
09-02-39-53,8d77e42b65e646dca60d3387610cfa80,1,Inherited,1.0,,,,,,,,Kericho,Community land,Customary,Allotment letters,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Very Likely,Community/ other conflicts
29-90-40-48,5236254b505742fc999ff006b8deff70,1,Allocated By Family Member,1.0,,,,,,,,Nyamira,Private,Freehold,Title deed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
72-89-46-84,c951b01d8a36496ab3afaf9eabd42a6b,1,Allocated By Family Member,1.0,,,,,,,,Nyamira,Private,Freehold,Title deed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
12-77-42-08,696e01e8307e432595d3e8aec6919f7e,1,Allocated By Family Member,1.0,,,,,,,,Nyamira,Private,Freehold,Title deed,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,Relative,No,Relative,Not at all Likely,
69-76-15-90,53211799b7f44959be966729c357c9e5,1,Purchased,1.0,,,,,,,,Taita-Taveta,Public Land,Leasehold,Certificate of lease,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
41-88-43-01,a117057e9c3943f888e0f5d9a79b1a22,1,Inherited,1.0,,,,,,,,Bomet,Private,Freehold,Title deed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,Relative,Yes,,Not at all Likely,
10-03-04-70,1d006e3d47bc42d493de498a51d2b845,1,Purchased,1.0,,,,,,,,Murang'a,Private,Freehold,Title deed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
50-09-04-80,cc54564eef9040d99c3070be01669661,1,Allocated By Family Member,1.0,,,,,,,,Nyamira,Private,Freehold,Title deed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
55-76-90-81,36673241e9704326901f2d0a4e877525,1,Purchased,1.0,,,,,,,,Narok,Private,Leasehold,Sale Agreement,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
85-82-01-67,6e392281f1b04a2d94916e408befa596,1,Purchased,1.0,,,,,,,,Narok,Private,Freehold,Title deed,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
